level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,POL_705,Political Party,,,,,,,TGO,Togo,705,Democratic Convention of African People,CDPA,
old,POL_706,Political Party,,,,,,,TCD,Chad,706,Political Parties,,
old,ENT_707,Entity,,,,,,,IND,India,707,West Bengal,,
old,OTH_708,Other,,,,,1,,IND,India,708,Darjeeling Gorkha Hill Council,,
old,UMB_709,Umbrella,,,,,,,ETH,Ethiopia,709,National Liberation Movements,,
old,OTH_710,Other,,,,,1,,MMR,Myanmar (Burma),710,Union Peace Working Committee,,
old,NGO_711,Civil Society,Religious,,1,,,,,,711,Religious Representatives,,
old,NGO_712,Civil Society,Religious,,,,,,,,712,Episcopal Conference of Angola and Sao Tome,,
old,NGO_713,Civil Society,Religious,,,,1,,AGO,Angola,713,Council of Christian Churches of Angola,,
old,NGO_714,Civil Society,Religious,,,,1,,AGO,Angola,714,Inter-Ecclesiastical Council for Peace in Angol,,
old,OTH_715,Other,,,,,1,,AGO,Angola,715,Cabinda Forum for Dialogue,,
old,NGO_716,Civil Society,Non-governmental Organization,Other,,,1,,SSD,South Sudan,716,Civil Society Representative,,
old,NGO_717,Civil Society,Non-governmental Organization,Women,,,1,,SSD,South Sudan,717,Women's Bloc Representative,,
old,UMB_718,Umbrella,,,,,,,SSD,South Sudan,718,Other Political Parties,OPP,
old,NGO_719,Civil Society,Non-governmental Organization,Other,,,1,,SSD,South Sudan,719,Eminent Personalities Representative,,
old,ENT_720,Entity,,,,,,,UKR,Ukraine,720,Luhansk People Republic,,
old,ENT_721,Entity,,,,,,,UKR,Ukraine,721,Donetsk People Republic,,
old,ARM_722,Armed Organization,,,,,,,MLI,Mali,722,Coordination of Patriotic Movements and Forces for Resistance,CMFPR,Coordination of Movements and Fronts of Patriotic Resistance | Coordination des Mouvements et Front Patriotique de Résistance
old,ARM_723,Armed Organization,,,,,,,MLI,Mali,723,Coalition for the Azawad Peoples,CPA,
old,ARM_724,Armed Organization,,,,,,,MLI,Mali,724,National Movement for the Liberation of Azawad/Coordination of Azawad Movements,MNLA/CMA,Mouvement National pour la Libération de l'Azawad | CMA | Coordination des Mouvements de l'Azawad | Coordination of Azawad Movements | CAM
old,OTH_725,Other,,,,,1,,LBY,Libya,725,General National Congress,,
old,OTH_726,Other,,,,,1,,LBY,Libya,726,National Transitional Council,,
old,OTH_727,Other,,,,,1,,LBY,Libya,727,House of Representatives,,
old,NGO_728,Civil Society,Non-governmental Organization,Other,,,1,,LBY,Libya,728,Civil Society Representative,,
old,POL_729,Political Party,,,,,,,LBY,Libya,729,Political Parties,,
old,OTH_730,Civil Society,Non-governmental Organization,Other,,,1,,LBY,Libya,730,Tribal Leaders,,
old,NGO_731,Civil Society,Non-governmental Organization,Women,,,1,,LBY,Libya,731,Women's Organizations,,
old,UMB_732,Umbrella,,,,,,,YEM,Yemen,732,Joint Meeting Parties,JMP,
old,COA_733,State Coalition,,,1,,,,,,733,Friends of Yemen,,
old,UMB_734,Umbrella,,,,,,,YEM,Yemen,734,National Democratic Alliance,NDA,
old,OTH_735,Other,,,,,1,,YEM,Yemen,735,Preparatory Committee for National Dialogue,,
old,POL_736,Political Party,,,,,,,YEM,Yemen,736,Yemeni Congregation for Reform,,Al-Islah
old,POL_737,Political Party,,,,,,,YEM,Yemen,737,Solidarity Council and the Freedom Bloc,,
old,POL_738,Political Party,,,,,,,YEM,Yemen,738,Al - Haqq,,Truth Party
old,ENT_739,Entity,,,,,,,PSE,Palestine,739,Palestine,,
old,ARM_740,Armed Organization,,,,,,,PSE,Palestine,740,Fatah,,Palestinian National Liberation Movement
old,ARM_741,Armed Organization,,,,,,,PSE,Palestine,741,Hamas,,Islamic Resistance Movement
old,NGO_742,Civil Society,Non-governmental Organization,Women,,,1,,BHR,Bahrain,742,Women's Societies,,
old,POL_743,Political Party,,,,,,,BHR,Bahrain,743,Political Societies,,
old,NGO_744,Civil Society,Non-governmental Organization,Other,,,1,,BHR,Bahrain,744,Civil Society,,
old,OTH_745,Other,,,,,1,,BHR,Bahrain,745,Media,,
old,NGO_746,Civil Society,Non-governmental Organization,Other,,,1,,BHR,Bahrain,746,Youth Societies,,
old,NGO_747,Civil Society,Unions,,,,1,,BHR,Bahrain,747,Labour Unions,,
old,OTH_748,Government/state,,,,,1,,IRQ,Iraq,748,Governing Council,,
old,OTH_749,Other,,,1,,1,,,,749,Coalition Provisional Authority,,
old,IGO_750,Intergovernmental Organization,,,1,,,UN Mission,,,750,UNSMIL,UNSMIL,United Nations Support Mission in Libya | UNSMIL - United Nations | United Nations Support Mission
old,ARM_751,Armed Organization,,,,,,,ALB,Albania,751,"Liberation Army of Presevo, Medvedja and Bujanovac",UÇPMB,"Ushtria Çlirimtare e Preshevës, Medvegjës dhe Bujanocit | Liberation Army of Preševo, Medveđa, and Bujanovac"
old,ENT_752,Entity,,,,,,,ALB,Albania,752,"Presevo, Bujanovac and Medvedja",,
old,ARM_753,Armed Organization,,,,,,,MMR,Myanmar (Burma),753,DKBA-5,,
old,ARM_754,Armed Organization,,,,,,,MMR,Myanmar (Burma),754,Karen National Union,,
